round,test_accuracy,test_loss,clients_selected
1,15.46,2.388171012401581,"[7, 5, 2, 9, 18]"
2,17.01,2.390769455432892,"[17, 7, 18, 14, 2]"
3,25.41,2.036793704032898,"[16, 7, 13, 0, 10]"
4,18.75,2.265827934741974,"[3, 14, 9, 4, 15]"
5,23.01,2.205826315879822,"[19, 8, 14, 0, 9]"
6,29.12,1.9707574701309205,"[9, 0, 2, 19, 6]"
7,32.33,1.8542497158050537,"[6, 5, 11, 9, 19]"
8,27.12,2.363010805845261,"[12, 7, 9, 10, 19]"
9,23.94,3.58403959274292,"[2, 8, 12, 16, 10]"
10,24.69,2.4352743887901305,"[6, 2, 0, 14, 9]"
